show_id,type,title,director,cast,country,release_year,rating,duration,genres
s2604,Movie,Drishyam 2,Jeethu Joseph,"Mohanlal, Meena, Siddique, Murali Gopy, Asha Sharath, Ganesh Kumar, Ansiba, Esther Anil, Anjali Nair, Saikumar, Antony Perumbavoor",India,2021,13+,153 min,Drama
s2640,Movie,DocoBanksy,Dominic Wade,"Kate Brindley, Robbie Conal, Simon Hattenstone, Ivan Massow","United Kingdom, United States",2014,18+,59 min,Documentary
s2674,Movie,Dhoom,Sanjay Gadhvi,"John Abraham, Abhishek Bachchan, Uday Chopra, Rimi Sen, Esha Deol, Manoj Joshi",India,2004,13+,129 min,"Action, International"
s2675,Movie,Dhadak,Shashank Khaitan,"Janhvi Kapoor, Ishaan Khattar, Ashutosh Rana, Aditya Kumar, Kharaj Mukherjee",India,2018,13+,137 min,"Drama, International"
s2694,Movie,Dear Comrade,Bharat Kamma,"Vijay Deverakonda, Rashmika Mandanna",India,2019,13+,167 min,"Action, Drama, Romance"
s2710,Movie,Dawn Rider,Terry Miles,"Christian Slater, Jill Hennessey, Donald Sutherland",Canada,2012,18+,94 min,"Action, Drama, Western"
s2759,Movie,Crips and Bloods: Made in America,Stacy Peralta,"Jim Brown, Forest Whitaker",United States,2008,16+,94 min,Documentary
s2789,Movie,Coolie No. 1,David Dhawan,"Varun Dhawan, Sara Ali Khan, Paresh Rawal, Javed Jaffery, Rajpal Yadav, Sahil Vaid, Johny Lever, Shikha Talsania, Vikas Verma, Anil Dhawan, Manoj Joshi, Bharti Achrekar",India,2020,13+,135 min,"Comedy, Drama"
s2790,Movie,Cool World,Ralph Bakshi,"Kim Basinger, Gabriel Byrne, Brad Pitt, Michele Abrams",United States,1992,PG-13,102 min,"Action, Animation, Fantasy"
s2810,Movie,Coldplay: A Head Full Of Dreams,Mat Whitecross,"Guy Berryman, Jonny Buckland, Will Champion, Chris Martin",United Kingdom,2018,PG-13,105 min,"Documentary, Music Videos and Concerts"
s2856,Movie,Choricha Mamla,Priyadarshan Jadhav,"Jitendra Joshi, Amruta Khanvilkar, Aniket Vishwasrao, Kshitee Jog, Hemant Dhome, Kirti Pendharkar",India,2020,13+,132 min,Comedy
s2858,Movie,Chocolate City,Jean-Claude La Marre,"Robert Ri'chard, Tyson Beckford, Deray Davis, Imani Hakim, Darrin Dewitt Henson",United States,2015,R,91 min,Drama
s2867,Movie,Chicken People,Nicole Lucas Haimes,"Brian Caraker, Brian Knox, Shari McCollough",United States,2016,13+,83 min,"Documentary, Special Interest"
s2869,Movie,Chiara Ferragni: Unposted [English Subbed],Elisa Amoruso,Chiara Ferragni,Italy,2019,16+,88 min,Documentary
s2873,Movie,Chhalaang,Hansal Mehta,"Rajkummar Rao, Nushrratt Bharuchaa",India,2020,13+,136 min,"Comedy, Drama"
s2900,Movie,Catch Hell,Ryan Phillippe,"Ryan Phillippe, Ian Barford, Stephen Louis Grush",United States,2014,18+,97 min,"Action, Drama, Suspense"
s2938,Movie,C U Soon (4K UHD),Mahesh Narayan,"Fahadh Faasil, Darshana Rajendran, Roshan Mathew, Saiju Kurup, Mala Parvathy",India,2020,16+,98 min,"Drama, Suspense"
